Tsuguhito Yuta
Hajime Tenga
Chidori Takashiro
Noriko Sonozaki
Niko Niiyama
Honoka Maki
Yoshiharu Hisomu
Katsuhira Agata
Kouichi Mizuki
Caius Lao Bistail
Itsuhito Sakaki
Ami Asai
Hana Uzaki
Shinichi Sakurai
Vice-Principal
Ugaki
Himari Takanashi
Kouji Takanashi
Kouichi Tada
Souma
Yusuke Satake
Kurz
Kouchou
Shizuka Kimura
Atsumi Imori
Hikari Takanashi
Tetsuo Takahashi
Sakie Satou
Kyouko Machi
Yuki Kusakabe
Tim Robinson
Luvelia Sanctos
Piglette Pancetta
Peter Grill
Vegan Eldriel
Lisa Alpacas
Mimi Alpacas
Anos Voldigoad
Misha Necron
Sasha Necron
Saphentite Neikes
Glenn Litbeit
Sayuri Ichinose
Mini Yaemori
Ruka Sarashina
Sumi Sakurasawa
Mami Nanami
Shun Kuribayashi
Nagomi Kinoshita
Yoshiaki Kibe
Kazuya Kinoshita
Chizuru Ichinose
Mi-Ra Yu
Mo-Ri Jin
Dae-Wi Han
Retto Enjou
Kirara Hoshino
Momoka Momozono
Maihime Shirayuki
Sora Tenkuuji
Chacha
Anno Jou
Runba
Kiyomi Michidera
Sousuke Mihara
Minato Okiura
Sasaha Sahara
Ryouka Takamatsu
Nao Yasunaga
Haruka Yoshizawa
Yuuto
Hitomi Nishikawa
Yuuko Kirishima
Manako Kawatou
Yukariko Kanoe
Momoe Okonogi
Teiichi Niiya
Kirie Kanoe
Yuuko Kanoe
Hinako Tsubokura
Tsunashi
Father Asaba
Yoko Tsukahara
Rina Takahashi
Masaki Satou
Kayo Sakura
Ryuunosuke Matsushita
Fuyuki Matsuoka
Kyouko Mamiya
Kouichi Azuma
Akira
Hisako Aida
Shizuna Aida
Kaname Tsukahara
Chizuru Tachibana
Shun Matsuoka
Yuuki Asaba
Yuuta Asaba
Mimori Hayashi
Evangeline Yamamoto
Natsumura Kusaribe
Samon Kusaribe
Tetsuma Kusaribe
Sakurako Kitasenri
Junichirou Hoshimura
Takumi Hayakawa
Megumu Hanemura
Yoshino Takigawa
Hakaze Kusaribe
Mahiro Fuwa
Aika Fuwa
Kazane Kinomiya
Kuon Kotonami
Yahiro Mizuchi
Himeka Tatsugami
Nozomi Kotonami
Aya Tatsugami
Li Bei Ying
Yakumo Amagiri
Yi Li Ei
Hayato Inui
Yua Kirino
Seiichi Kugi
Souji Kuzuhara
Jun Sahara
Carlos
Lihuang Ei
Lilei Ei
Gen
Gitarin
Greatest Zhang
Kanata Nejiro
Ginga Kaneshima
Tai Fei Liu
Sherlock Liverpool
Charlotte Liverpool
Mohawk Goro
Misaki Yasojima
Kelly Yatsufusa
Nazuna Yukimura
Shinichi Tsukumoya
Traugott Geissendorfer
Seitarou Yagiri
Hiroto Shijima
Mikage Sharaku
Eijirou Sharaku
Mimizu
Manami Mamiya
Kasane Kujiragi
Kisuke Adabashi
Jinnai Yodogiri
Vorona
Slon
Chikage Rokujou
Aoba Kuronuma
Emilia Kishitani
Takaaki Kazamoto
Egor
Drakon
Lingerin Douglanikov
Akane Awakusu
Dougen Awakusu
Mikiya Awakusu
Shuu Aozaki
Mizuki Akabayashi
Kururi Orihara
Mairu Orihara
Walker Yumasaki
Namie Yagiri
Seiji Yagiri
Saburou Togusa
Tom Tanaka
Shiri
Haruya Shiki
Haruna Niekawa
Shuuji Niekawa
Takashi Nasujima
Saki Mikajima
Kinnosuke Kuzuhara
Shinra Kishitani
Shingen Kishitani
Erika Karisawa
Rio Kamichika
Kyouhei Kadota
Ran Izumii
Horada
Ruri Hijiribe
Kasuka Heiwajima
Mika Harima
Dennis
Semyon Brezhnev
Celty Sturluson
Anri Sonohara
Mikado Ryuugamine
Izaya Orihara
Masaomi Kida
Shizuo Heiwajima
Shichiroji
Okara
Shizuka Saeki
Arisa Takanomiya
Kaoruko Jinno
Akio
Akina
Ginbei Haruomi Sawatari
Arashi Nikaidou
Anastasia Nasuhara
Akiko Himenokouji
Akito Himenokouji
Azusa Takai
Haruyuki Inumaru
Aiko Niwa
Nari Amatoya
Nana Ogasawara
Sayaka Ooue
Kai Shimada
Chihaya Yamase
Tamaki Minase
Yuuma Shindou
Shinichi Yanagihara
Erina Yuzuki
Saki Akagiri
Miyako Hayakawa
Yuma Okita
Mayuri Yoshimura
Shiho Hasegawa
Kaori Hasegawa
Miyu Shinohara
Kokuhaku Akaboshi
Kou Kibiki
Haruna Kizami
Kensuke Kurosaki
Mitsuki Yamamoto
Naho Saenoki
Yuuya Kizami
Ryou Yoshizawa
Yoshikazu Yanagihori
Tsuji Tokiko
Yui Shishido
Yuki Kanno
Mayu Suzumoto
Sachiko Shinozaki
Ayumi Shinozaki
Seiko Shinohara
Naomi Nakashima
Sakutaro Morishige
Yuka Mochida
Satoshi Mochida
Yoshiki Kishinuma
Tadataka Tadata
Sunao Sumeragi
Osamu Osanai
Ouhi Oriobana
Kotetsu
Kokuyou
Kanaka Kagami
Kasumi Kagami
Chisato Chikaishi
Kukuri
Kiriha
Kazuya Kagami
Yoko Akimoto
Takako Kinoshita
Kouichi Minato
Rio
Chika Yuzuhara
Shinako Morinome
Haru Nonaka
Rikuo Uozumi
Takanori Fukuda
Kozue Fukuda
Rou Hayakawa
Kansuke
Kinoshita
Minato
Morita
Kyouko Sayama
Katsumi Takishita
Youko Kawashima
Katsuya Honda
Naohito Sakuragi
Mayuko Shiraki
Ren Souma
Kureno Souma
Kimi Toudou
Isuzu Souma
Kakeru Manabe
Machi Kuragi
Clair Aoki
Shuuichi Kagaya 2
Miku Aihara
Alien
Erena Aoki
Hikawa
Ikeuchi
Sayaka Koyanagi
Isao Kasuga
Nana Mifune
Youta Murakami
Naoto
Subaru
Tadanori Sanbe
Chihiro Yoshioka
Anne
Dan Ascart
Radia Ascart
Sirius Duke
Lila Hunt
Mary Hunt
Keith Claes
Maria Campbell
Sophia Ascart
Nicole Ascart
Gerald Stuart
Alan Stuart
Katarina Claes
Veronica
Ubertino
Angelo Parker
Darcia
Leo
Arte
Urek Mazino
Zahard
Endorsi Jahad
Anak Jahad
Ha Yuri Jahad
Rak Wraithraiser
Twenty-Fifth Bam
Rachel
Aguero Agnes Khun
Shingo Ichinomiya
Yoshiki Takarada
Makie Tachibana
Mitsuo Suga
Mizuho Nanba
Chuuya Nakahara
Kanetsugu Matou
Katsumi Kureko
Ryuusuke Koumoto
Madoka Chishiro
Minare Koda
Kakushi Gotou
Hime Gotou
Karin Zaizen
Kaoru Zaizen
Taichi Yoshioka
Tsubasa Umeya
Jin Tsukamoto
Yuri Tamura
Miwa Takei
Akira Takechi
Hikaru Tada
Kiyoshi Satou
Kazuma Sakai
Atsumu Ozaki
Mio Odagiri
Shion Narita
Kozue Kurata
Gaku Ishikawa
Seigo Ibuki
Moka Gotou
Aoyama-kun
Gaku Yaotome
Ryuunosuke Tsunashi
Ten Kujou
Tsumugi Takanashi
Momose Sunohara
Yukito Orikasa
Tamaki Yotsuba
Nagi Rokuya
Sougo Ousaka
Yamato Nikaidou
Riku Nanase
Mitsuki Izumi
Iori Izumi
Satoru Tanaka
Aoto Gonzales Takuma
Akira Kageura
Keppei Washidzu
Towa
Momoka Shijou
Takao Oigami
Violet North
Gekkou Nanase
Youko Nanase
Hotaru Kumagai
Futaba Ida
Makoto Hitouji
Tsuganashi Aiba
Takeshi Nanase
Kurumi Isoshima
Kazumi Ida
Mui Aiba
Shizue Satou
NHK Agents
Go Minegishi
Nanako Midorikawa
Megumi Kobayashi
Hitomi Kashiwa
Akira Jougasaki
Kaoru Yamazaki
Tatsuhiro Satou
Misaki Nakahara
Ren Uesugi
Mihato Uesugi
Shinra Kuonji
Yume Kuonji
Miyu Kuonji
Benisu
Takae Tachibana
Gakuto Shimazu
Reiko Shimazu
Koyuki Sakakibara
Chika Ogasawara
Takuya Morooka
Tadakatsu Minamoto
Saki Mimori
Ageha Kuki
